docId	firstName	lastName	key	twitterHandle	stateCode	chamber	senateRank	houseDistrict	party	startTerm	endTerm	url	phone
ralph-abraham	Ralph	Abraham	LA-rep-5	RepAbraham	LA	rep		5	Republican	1/3/2019	1/3/2021	https://abraham.house.gov	(202) 225-8490
alma-adams	Alma	Adams	NC-rep-12	RepAdams	NC	rep		12	Democrat	1/3/2019	1/3/2021	https://adams.house.gov	(202) 225-1510
robert-aderholt	Robert	Aderholt	AL-rep-4	Robert_Aderholt	AL	rep		4	Republican	1/3/2019	1/3/2021	https://aderholt.house.gov	(202) 225-4876
pete-aguilar	Pete	Aguilar	CA-rep-31	RepPeteAguilar	CA	rep		31	Democrat	1/3/2019	1/3/2021	https://aguilar.house.gov	(202) 225-3201
rick-allen	Rick	Allen	GA-rep-12	RepRickAllen	GA	rep		12	Republican	1/3/2019	1/3/2021	https://allen.house.gov	(202) 225-2823
colin-allred	Colin	Allred	TX-rep-32	RepColinAllred	TX	rep		32	Democrat	1/3/2019	1/3/2021		(202) 225-2231
justin-amash	Justin	Amash	MI-rep-3	justinamash	MI	rep		3	Republican	1/3/2019	1/3/2021	https://amash.house.gov	(202) 225-3831
mark-amodei	Mark	Amodei	NV-rep-2	MarkAmodeiNV2	NV	rep		2	Republican	1/3/2019	1/3/2021	https://amodei.house.gov	(202) 225-6155
kelly-armstrong	Kelly	Armstrong	ND-rep-0	RepArmstrongND	ND	rep		0	Republican	1/3/2019	1/3/2021		(202) 225-2611
jodey-arrington	Jodey	Arrington	TX-rep-19	JodeyArrington	TX	rep		19	Republican	1/3/2019	1/3/2021	https://arrington.house.gov	(202) 225-4005
cynthia-axne	Cynthia	Axne	IA-rep-3	RepCindyAxne	IA	rep		3	Democrat	1/3/2019	1/3/2021		(202) 225-5476
brian-babin	Brian	Babin	TX-rep-36	RepBrianBabin	TX	rep		36	Republican	1/3/2019	1/3/2021	https://babin.house.gov	(202) 225-1555
don-bacon	Don	Bacon	NE-rep-2	DonBacon2016	NE	rep		2	Republican	1/3/2019	1/3/2021	https://bacon.house.gov	(202) 225-4155
james-baird	James	Baird	IN-rep-4	RepJimBaird	IN	rep		4	Republican	1/3/2019	1/3/2021		(202) 225-5037
troy-balderson	Troy	Balderson	OH-rep-12	RepBalderson	OH	rep		12	Republican	1/3/2019	1/3/2021	https://balderson.house.gov/	(202) 225-5355
jim-banks	Jim	Banks	IN-rep-3	Jim_Banks	IN	rep		3	Republican	1/3/2019	1/3/2021	https://banks.house.gov	(202) 225-4436
garland-barr	Garland	Barr	KY-rep-6	RepAndyBarr	KY	rep		6	Republican	1/3/2019	1/3/2021	https://barr.house.gov	(202) 225-4706
nanette-barragan	Nanette	Barrag'an	CA-rep-44	Nanette4CA	CA	rep		44	Democrat	1/3/2019	1/3/2021	https://barragan.house.gov	(202) 225-8220
karen-bass	Karen	Bass	CA-rep-37	RepKarenBass	CA	rep		37	Democrat	1/3/2019	1/3/2021	https://bass.house.gov	(202) 225-7084
joyce-beatty	Joyce	Beatty	OH-rep-3	RepBeatty	OH	rep		3	Democrat	1/3/2019	1/3/2021	https://beatty.house.gov	(202) 225-4324
ami-bera	Ami	Bera	CA-rep-7	RepBera	CA	rep		7	Democrat	1/3/2019	1/3/2021	https://bera.house.gov	(202) 225-5716
jack-bergman	Jack	Bergman	MI-rep-1	JackBergman_MI1	MI	rep		1	Republican	1/3/2019	1/3/2021	https://bergman.house.gov	(202) 225-4735
donald-beyer	Donald	Beyer	VA-rep-8	RepDonBeyer	VA	rep		8	Democrat	1/3/2019	1/3/2021	https://beyer.house.gov	(202) 225-4376
andy-biggs	Andy	Biggs	AZ-rep-5	AndyBiggs4AZ	AZ	rep		5	Republican	1/3/2019	1/3/2021	https://biggs.house.gov	(202) 225-2635
gus-bilirakis	Gus	Bilirakis	FL-rep-12	RepGusBilirakis	FL	rep		12	Republican	1/3/2019	1/3/2021	https://bilirakis.house.gov	(202) 225-5755
sanford-bishop	Sanford	Bishop	GA-rep-2	SanfordBishop	GA	rep		2	Democrat	1/3/2019	1/3/2021	https://bishop.house.gov	(202) 225-3631
rob-bishop	Rob	Bishop	UT-rep-1	RepHalRogers	UT	rep		1	Republican	1/3/2019	1/3/2021	https://robbishop.house.gov	(202) 225-0453
earl-blumenauer	Earl	Blumenauer	OR-rep-3	repblumenauer	OR	rep		3	Democrat	1/3/2019	1/3/2021	https://blumenauer.house.gov	(202) 225-4811
lisa-blunt-rochester	Lisa	Blunt Rochester	DE-rep-0	LisaBRochester	DE	rep		0	Democrat	1/3/2019	1/3/2021	https://bluntrochester.house.gov	(202) 225-4165
