state	party	last_name	first_name	full_name	screen_name	senate_rank	senate_class		state_population	state_population_voters	name	followers_count	friends_count	listed_count	twitter_join_date	twitter_age	favourites_count	statuses_count	profile_background_color	profile_image_url	profile_banner_url	profile_link_color	profile_sidebar_border_color	profile_sidebar_fill_color	profile_text_color
AK	Republican	Murkowski	Lisa	Lisa Murkowski	lisamurkowski	senior	3		712745	527810	Sen. Lisa Murkowski	268485	568	3622	2008-12-11	10	370	8153	3F4C6B	http://pbs.twimg.com/profile_images/1061074014783696897/9-RMJmIo_normal.jpg	https://pbs.twimg.com/profile_banners/18061669/1421099983	2FC2EF	FFFFFF	252429	666666
AK	Republican	Sullivan	Dan	Dan Sullivan	SenDanSullivan	junior	2		712745	527810	Sen. Dan Sullivan	39965	696	1011	2014-11-05	5	214	2714	C0DEED	http://pbs.twimg.com/profile_images/553674509639618560/XOdVwVGN_normal.png		1DA1F2	C0DEED	DDEEF6	333333
AL	Democrat	Jones	Doug	Doug Jones	SenDougJones	junior	2		4734505	3639495	Doug Jones	22834	291	506	2017-12-13	1	223	1018	F5F8FA	http://pbs.twimg.com/profile_images/1020031896741400577/RvxrHrIA_normal.jpg	https://pbs.twimg.com/profile_banners/941080085121175552/1532030094	1DA1F2	C0DEED	DDEEF6	333333
AL	Republican	Shelby	Richard	Richard C. Shelby	SenShelby	senior	3		4734505	3639495	Richard Shelby	84310	506	2176	2009-02-17	10	347	2387	0	http://pbs.twimg.com/profile_images/621070518834212864/ikIQKvUq_normal.jpg	https://pbs.twimg.com/profile_banners/21111098/1436912050	A60000	FFFFFF	FFFFFF	333333
AR	Republican	Boozman	John	John Boozman	JohnBoozman	senior	3		2874015	2175340	Senator John Boozman	87444	796	2451	2007-04-27	12	1790	5605	1A1B1F	http://pbs.twimg.com/profile_images/970776346250104834/i7B-Xp9G_normal.jpg	https://pbs.twimg.com/profile_banners/5558312/1520286185	A60000	181A1E	252429	666666
AR	Republican	Cotton	Tom	Tom Cotton	SenTomCotton	junior	2		2874015	2175340	Tom Cotton	168021	352	2478	2012-11-24	6	0	8752	22330	http://pbs.twimg.com/profile_images/568884049058357248/M-VeVL9u_normal.jpeg	https://pbs.twimg.com/profile_banners/968650362/1366831169	0084B4	FFFFFF	DDEEF6	333333
AZ	Republican	McSally	Martha	Martha McSally	SenMcSallyAZ	junior	3		6192380	4613575	Martha McSally	69695	752	1081	2015-01-06	4	320	3959	0	http://pbs.twimg.com/profile_images/1090315894109204480/DiDFtf5C_normal.jpg	https://pbs.twimg.com/profile_banners/2964949642/1460992343	3B94D9	0	0	0
AZ	Democrat	Sinema	Kyrsten	Kyrsten Sinema	SenatorSinema	senior	1		6192380	4613575	Kyrsten Sinema	102907	736	1551	2013-01-11	6	22	12432	131516	http://pbs.twimg.com/profile_images/1034130772406353921/X0F2Al0E_normal.jpg	https://pbs.twimg.com/profile_banners/1080844782/1450970481	9999	0	EFEFEF	333333
CA	Democrat	Feinstein	Dianne	Dianne Feinstein	SenFeinstein	senior	1		33355855	24582595	Senator Dianne Feinstein	1388094	225	6853	2012-01-27	7	0	9411	C0DEED	http://pbs.twimg.com/profile_images/1138195246616076288/0m4qtUno_normal.png	https://pbs.twimg.com/profile_banners/476256944/1401304971	0084B4	C0DEED	DDEEF6	333333
CA	Democrat	Harris	Kamala	Kamala D. Harris	SenKamalaHarris	junior	3		33355855	24582595	Kamala Harris	963361	670	4870	2016-11-29	2	521	3906	F5F8FA	http://pbs.twimg.com/profile_images/974690906669572098/Y6w06trG_normal.jpg	https://pbs.twimg.com/profile_banners/803694179079458816/1521647792	1DA1F2	C0DEED	DDEEF6	333333
CO	Democrat	Bennet	Michael	Michael F. Bennet	SenatorBennet	senior	3		5041535	3824440	Michael Bennet	296871	366	3011	2010-12-08	8	129	3976	48403A	http://pbs.twimg.com/profile_images/897159863863836676/lopmOrpE_normal.jpg	https://pbs.twimg.com/profile_banners/224285242/1527091402	4D8857	95F0EB	D3E7F2	242324
CO	Republican	Gardner	Cory	Cory Gardner	SenCoryGardner	junior	2		5041535	3824440	Cory Gardner	124056	277	2169	2011-01-07	8	86	4868	C0DEED	http://pbs.twimg.com/profile_images/562347582215573505/4BV0djAm_normal.jpeg	https://pbs.twimg.com/profile_banners/235217558/1456516556	003CB3	C0DEED	DDEEF6	333333
CT	Democrat	Blumenthal	Richard	Richard Blumenthal	SenBlumenthal	senior	3		3333940	2582880	Richard Blumenthal	617687	991	3958	2011-04-06	8	624	12944	F6F0E1	http://pbs.twimg.com/profile_images/870748217440423937/_iFTgKfI_normal.jpg	https://pbs.twimg.com/profile_banners/278124059/1512656613	0956A3	FFFFFF	F2EDDA	111310
CT	Democrat	Murphy	Christopher	Christopher Murphy	SenMurphyOffice	junior	1		3333940	2582880	Sen. Murphy Office	3673	29	171	2014-10-31	5	6	1208	D8CFCA	http://pbs.twimg.com/profile_images/528640956577230848/7MwZKzA8_normal.jpeg	https://pbs.twimg.com/profile_banners/2853793517/1415051074	03AE6C	0	DDEEF6	333333
DE	Democrat	Carper	Thomas	Thomas R. Carper	SenatorCarper	senior	1		890715	689655	Senator Tom Carper	98047	1497	1994	2011-02-09	8	1145	8756	D6DDE1	http://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_normal.jpeg	https://pbs.twimg.com/profile_banners/249787913/1573075354	1E3F66	BAC1C4	E2E8EB	737373
DE	Democrat	Coons	Chris	Christopher A. Coons	ChrisCoons	junior	2		890715	689655	Senator Chris Coons	148981	2497	2706	2008-07-05	11	295	12333	4871B0	http://pbs.twimg.com/profile_images/1010166727529893888/O-lZLomM_normal.jpg	https://pbs.twimg.com/profile_banners/15324851/1566484195	4871B0	A8C7F7	C0DFEC	333333
FL	Republican	Rubio	Marco	Marco Rubio	SenRubioPress	senior	3		18101505	14195890	Senator Rubio Press	108753	558	1583	2010-12-23	8	64	9454	0	http://pbs.twimg.com/profile_images/951541361483894784/ZWLWOoil_normal.jpg	https://pbs.twimg.com/profile_banners/229966028/1486679186	962121	DBDBDB	F5F5F5	777777
FL	Republican	Scott	Rick	Rick Scott	SenRickScott	junior	1		18101505	14195890	Rick Scott	290285	2823	3603	2010-04-10	9	17	15061	C0DEED	http://pbs.twimg.com/profile_images/1082776530235916289/KVIfkvwW_normal.jpg	https://pbs.twimg.com/profile_banners/131546062/1548253495	0084B4	C0DEED	DDEEF6	333333
GA	Republican	Isakson	John	Johnny Isakson	SenatorIsakson	senior	3		9507600	7063805	Johnny Isakson	68672	460	2148	2009-09-29	10	841	6555	C0DEED	http://pbs.twimg.com/profile_images/543499427365650432/JitEqhDZ_normal.jpeg	https://pbs.twimg.com/profile_banners/78403308/1488812068	0084B4	FFFFFF	DDEEF6	333333
