geo_id	name	abbreviation	color	latitude	longitude	total_audience	years_on_twitter	percent_voters	total_audience_rank	population	years_on_twitter_rank	population_rank	percent_voters_rank
1	Alabama	AL	purple	32.7794	-86.8287	107144	12	76.87%	44	4734505	38	23	20
2	Alaska	AK	red	28	-116	308450	16	74.05%	25	712745	23	47	45
4	Arizona	AZ	purple	34.2744	-111.6602	172602	10	74.50%	37	6192380	42	17	42
5	Arkansas	AR	red	34.8938	-92.4426	255465	19	75.69%	27	2874015	6	31	32
6	California	CA	blue	37.1841	-119.4696	2351455	10	73.70%	4	33355855	43	1	47
8	Colorado	CO	purple	38.9972	-105.5478	420927	17	75.86%	20	5041535	15	22	31
9	Connecticut	CT	blue	41.6219	-72.7273	621360	13	77.47%	13	3333940	36	29	11
10	Delaware	DE	blue	38.9896	-75.505	247028	19	77.43%	30	890715	6	45	12
12	Florida	FL	red	28.6305	-82.4497	399038	18	78.42%	22	18101505	9	3	7
13	Georgia	GA	red	32.6415	-83.4426	139478	15	74.30%	40	9507600	29	9	45
15	Hawaii	HI	blue	26	-106.1126	470873	16	77.21%	18	1303955	23	41	13
16	Idaho	ID	red	44.3509	-114.613	188265	13	72.98%	35	1574200	35	39	47
17	Illinois	IL	blue	40.0417	-89.1965	1197620	14	75.48%	9	11928165	32	6	35
18	Indiana	IN	red	39.8942	-86.2816	58427	8	75.55%	49	6385820	47	14	34
19	Iowa	IA	red	42.0751	-93.496	536840	17	76.19%	16	3012095	15	28	27
20	Kansas	KS	red	38.4937	-98.3804	175028	20	74.40%	37	2771385	3	34	44
21	Kentucky	KY	red	37.5347	-85.3021	3684095	15	76.80%	3	4314920	29	26	22
22	Louisiana	LA	red	31.0689	-91.9968	96647	3	75.67%	46	4535710	50	25	34
23	Maine	ME	red gray	45.3695	-69.2428	726157	16	80.39%	11	1308385	40	23	1
24	Maryland	MD	blue	39.055	-76.7909	413657	20	76.35%	21	5517145	3	20	25
25	Massachusetts	MA	blue	42.2596	-71.8083	5653753	17	78.39%	2	6234915	15	16	8
26	Michigan	MI	blue	44.3467	-85.4102	222447	18	77.16%	33	9601980	9	8	14
27	Minnesota	MN	blue	46.2807	-94.3053	77607	12	76.04%	48	5234815	39	21	29
28	Mississippi	MS	red	32.7364	-89.6678	96148	9	75.26%	46	2946760	46	31	36
29	Missouri	MO	red	38.3566	-92.458	119827	10	76.69%	42	5930025	42	18	23
30	Montana	MT	purple	47.0527	-109.6333	149357	19	77.87%	39	1013805	6	43	9
31	Nebraska	NE	red	41.5378	-99.7951	230926	10	74.53%	32	1799310	38	43	42
32	Nevada	NV	blue	39.3289	-116.6312	62446	5	74.68%	49	2547140	35	49	41
33	New Hampshire	NH	blue	43.6805	-71.5811	253054	16	79.57%	29	1291410	22	42	3
34	New Jersey	NJ	blue	40.1907	-74.6728	313379	16	75.91%	24	8019215	22	11	30
35	New Mexico	NM	blue	34.4071	-106.1126	363866	16	74.93%	23	1954250	22	36	38
36	New York	NY	blue	42.9538	-75.5268	1973656	13	76.97%	5	17677055	4	36	18
37	North Carolina	NC	red	35.5557	-79.3877	253972	14	76.27%	24	9445115	30	9	26
38	North Dakota	ND	red	47.4501	-100.4659	117558	15	77.02%	39	721470	26	42	17
39	Ohio	OH	purple	40.2862	-82.7937	524928	20	76.97%	17	11348025	3	7	19
40	Oklahoma	OK	red	35.5889	-97.4943	133811	21	74.82%	41	3725970	1	28	40
41	Oregon	OR	blue	43.9336	-120.5583	919208	18	77.56%	10	3753590	9	27	10
42	Pennsylvania	PA	purple	40.8781	-77.7996	543663	18	78.49%	15	12390675	9	5	6
44	Rhode Island	RI	blue	41.6762	-71.5562	440196	15	79.09%	19	986560	29	44	5
45	South Carolina	SC	red	33.9169	-80.8964	1612134	17	77.13%	6	4694715	15	24	15
46	South Dakota	SD	red	44.4443	-100.2263	118021	12	75.21%	43	833720	39	46	38
47	Tennessee	TN	red	35.858	-86.3505	211876	18	76.80%	35	6349395	9	15	21
48	Texas	TX	red	31.4757	-99.3312	1576283	17	71.42%	7	24051900	15	2	49
49	Utah	UT	red	39.3055	-111.6703	573600	11	68.13%	14	2794015	42	33	50
50	Vermont	VT	blue gray	44.0687	-72.6658	8991331	18	80.39%	1	613910	9	49	2
51	Virginia	VA	blue	37.5215	-78.8537	1446841	21	76.75%	8	7816285	1	12	22
53	Washington	WA	blue	47.3826	-120.4472	660028	17	76.29%	12	6564110	15	13	26
54	West Virginia	WV	purple	38.6409	-80.6227	257680	17	79.33%	26	1831855	15	37	4
55	Wisconsin	WI	purple	44.6243	-89.9941	231393	14	77.03%	31	5599335	33	19	16
56	Wyoming	WY	red	42.9957	-107.5512	217003	17	75.81%	34	570345	15	50	32
